epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5043,3.76024,4.8684,2.19154,0.00032,0.01701,0.00019,5e-05,3.53127,4.83195,2.268,8.574e-05,8.574e-05,8.574e-05
2,40.0435,3.14699,4.26276,1.74339,0.00056,0.02943,0.00348,0.00086,2.94608,4.49125,1.82346,0.000182092,0.000182092,0.000182092
3,58.6083,2.41453,3.74013,1.42088,0.00195,0.10099,0.0292,0.00543,2.19014,4.19289,1.39224,0.000274482,0.000274482,0.000274482
4,77.0069,2.34936,3.31805,1.34371,0.00548,0.27863,0.07101,0.01715,1.82888,3.97198,1.18913,0.000362912,0.000362912,0.000362912
5,96.2556,2.06736,2.87667,1.24305,0.00606,0.29657,0.1003,0.02879,1.75852,3.88096,1.13091,0.00044738,0.00044738,0.00044738
6,115.87,1.86127,2.65588,1.13236,0.0109,0.52263,0.16305,0.05673,1.56953,3.67263,1.04913,0.000527887,0.000527887,0.000527887
7,134.852,1.7654,2.43487,1.07957,0.0148,0.70925,0.21479,0.09755,1.49538,3.51865,1.02544,0.000604433,0.000604433,0.000604433
8,153.078,1.77829,2.27511,1.06056,0.37527,0.62651,0.36835,0.18947,1.58116,3.19214,1.0424,0.000677017,0.000677017,0.000677017
9,171.711,1.73933,2.09484,1.07646,0.50364,0.25714,0.41328,0.20409,1.62394,3.04076,1.04568,0.000745641,0.000745641,0.000745641
10,190.196,1.69471,2.03802,1.05186,0.51035,0.16995,0.4285,0.22467,1.48901,2.8857,1.00933,0.000810303,0.000810303,0.000810303
11,208.31,1.60853,1.97303,1.09729,0.66211,0.14221,0.36023,0.12035,1.62887,3.01242,1.07801,0.000871004,0.000871004,0.000871004
12,226.975,1.60847,1.81829,1.06266,0.6709,0.30622,0.52992,0.23273,1.47417,2.69163,1.0601,0.000927744,0.000927744,0.000927744
13,245.744,1.59324,1.68482,1.08831,0.65204,0.46584,0.6224,0.33196,1.46273,2.41874,1.08069,0.000980523,0.000980523,0.000980523
14,263.974,1.63989,1.64457,1.1092,0.65204,0.46584,0.6224,0.33196,1.46273,2.41874,1.08069,0.00102934,0.00102934,0.00102934
15,283.345,1.6303,1.63669,1.08075,0.6649,0.52768,0.61583,0.28627,1.56683,2.406,1.09818,0.00103288,0.00103288,0.00103288
16,302.302,1.53446,1.60409,1.04049,0.74813,0.61269,0.7199,0.35257,1.44709,2.22247,1.07485,0.00100459,0.00100459,0.00100459
17,321.112,1.44489,1.67472,1.0356,0.71851,0.62386,0.67625,0.26098,1.59895,2.24796,1.12978,0.000976293,0.000976293,0.000976293
18,340.28,1.51334,1.6054,1.09859,0.6816,0.66763,0.74451,0.41644,1.31858,1.91155,1.0549,0.000947999,0.000947999,0.000947999
19,359.249,1.40094,1.49067,1.0298,0.70843,0.73722,0.78252,0.47757,1.20349,1.73622,1.01666,0.000919704,0.000919704,0.000919704
20,378.247,1.40059,1.50122,1.02203,0.78669,0.74656,0.84696,0.47556,1.3452,1.57359,1.04746,0.00089141,0.00089141,0.00089141
21,397.492,1.43028,1.52053,1.055,0.77835,0.7639,0.84718,0.51065,1.27351,1.4277,1.01445,0.000863116,0.000863116,0.000863116
22,416.391,1.38211,1.49328,1.0459,0.77835,0.7639,0.84718,0.51065,1.27351,1.4277,1.01445,0.000834822,0.000834822,0.000834822
23,435.448,1.39027,1.36,1.01526,0.79565,0.80148,0.84046,0.53507,1.19318,1.33906,0.98157,0.000806528,0.000806528,0.000806528
24,454.746,1.44174,1.34485,1.04159,0.78446,0.84877,0.87443,0.52803,1.26581,1.31703,0.99605,0.000778233,0.000778233,0.000778233
25,473.902,1.36953,1.28785,1.01984,0.81569,0.88212,0.89784,0.56844,1.25983,1.24857,1.00233,0.000749939,0.000749939,0.000749939
26,492.564,1.36865,1.30092,1.03204,0.8622,0.92662,0.92853,0.55913,1.29804,1.18014,1.02163,0.000721645,0.000721645,0.000721645
